,tweet,label,tweet_tokens_result,tweet_tokens_clean,tweet_tokens_clean2,string_clean
10,"kayaknya emang bener ya masih banyak pikiran2 kolot kalo ada tindakan pelecehan seksual pasti nyalahin korban dulu, langsung labelling korban yg ngga2, kebiasaan judgemental sampe nganggep kalo masalah kaya gitu tu lumrah buat sering terjadi. hadu,memang suka ga abis thinking dah",urgent,"['kayaknya', 'emang', 'bener', 'ya', 'masih', 'banyak', 'pikiran', 'kolot', 'kalo', 'ada', 'tindakan', 'pelecehan', 'seksual', 'pasti', 'nyalahin', 'korban', 'dulu', 'langsung', 'labelling', 'korban', 'yg', 'ngga', 'kebiasaan', 'judgemental', 'sampe', 'nganggep', 'kalo', 'masalah', 'kaya', 'gitu', 'tu', 'lumrah', 'buat', 'sering', 'terjadi', 'hadumemang', 'suka', 'ga', 'abis', 'thinking', 'dah']","['pikiran', 'kolot', 'tindakan', 'pelecehan', 'seksual', 'nyalahin', 'korban', 'langsung', 'labelling', 'korban', 'kebiasaan', 'judgemental', 'lumrah', 'suka']","['pikir', 'kolot', 'tindak', 'leceh', 'seksual', 'nyalahin', 'korban', 'langsung', 'labelling', 'korban', 'biasa', 'judgemental', 'lumrah', 'suka']",pikir kolot tindak leceh seksual nyalahin korban langsung labelling korban biasa judgemental lumrah suka
11,"siapapun itu deh, mau gendernya laki - laki kek perempuan kek usia berapapun ya emang namanya tindakan pelecehan seksual emang gapantes dan biadab, dan gada satupun orang yg mau buat jadi korbannya. kata2 udah siap dilecehkan kayaknya jahat banget apalagi dilontarkan buat korban.",not urgent,"['siapapun', 'itu', 'deh', 'mau', 'gendernya', 'laki', 'laki', 'kek', 'perempuan', 'kek', 'usia', 'berapapun', 'ya', 'emang', 'namanya', 'tindakan', 'pelecehan', 'seksual', 'emang', 'gapantes', 'dan', 'biadab', 'dan', 'gada', 'satupun', 'orang', 'yg', 'mau', 'buat', 'jadi', 'korbannya', 'kata', 'udah', 'siap', 'dilecehkan', 'kayaknya', 'jahat', 'banget', 'apalagi', 'dilontarkan', 'buat', 'korban']","['gendernya', 'laki', 'laki', 'perempuan', 'usia', 'namanya', 'tindakan', 'pelecehan', 'seksual', 'gapantes', 'biadab', 'satupun', 'orang', 'korbannya', 'dilecehkan', 'jahat', 'dilontarkan', 'korban']","['gender', 'laki', 'laki', 'perempuan', 'usia', 'nama', 'tindak', 'leceh', 'seksual', 'gapantes', 'biadab', 'satu', 'orang', 'korban', 'leceh', 'jahat', 'lontar', 'korban']",gender laki laki perempuan usia nama tindak leceh seksual gapantes biadab satu orang korban leceh jahat lontar korban
12,"ga sengaja baca berita kalo hotman paris melakukan pelecehan seksual sm asprinya, di kolom komen portal beritanya ada yg bilang ""harusnya udah tau dong klo jadi asprinya dia udah siap untuk dilecehkan"". kayak hah anjg? gada satupun perempuan yg siap untuk dilecehkan ya.",not urgent,"['ga', 'sengaja', 'baca', 'berita', 'kalo', 'hotman', 'paris', 'melakukan', 'pelecehan', 'seksual', 'sm', 'asprinya', 'di', 'kolom', 'komen', 'portal', 'beritanya', 'ada', 'yg', 'bilang', 'harusnya', 'udah', 'tau', 'dong', 'klo', 'jadi', 'asprinya', 'dia', 'udah', 'siap', 'untuk', 'dilecehkan', 'kayak', 'hah', 'anjg', 'gada', 'satupun', 'perempuan', 'yg', 'siap', 'untuk', 'dilecehkan', 'ya']","['sengaja', 'baca', 'berita', 'pelecehan', 'seksual', 'kolom', 'beritanya', 'bilang', 'dilecehkan', 'kayak', 'satupun', 'perempuan', 'dilecehkan']","['sengaja', 'baca', 'berita', 'leceh', 'seksual', 'kolom', 'berita', 'bilang', 'leceh', 'kayak', 'satu', 'perempuan', 'leceh']",sengaja baca berita leceh seksual kolom berita bilang leceh kayak satu perempuan leceh
13,@wakaraanaii @tanyakanrl gak juga sih untuk bagian ini. karna aku pernah kena pelecehan seksual ketika pake baju seragam sekolah yang bener-bener longgar &amp,urgent,"['gak', 'juga', 'sih', 'untuk', 'bagian', 'ini', 'karna', 'aku', 'pernah', 'kena', 'pelecehan', 'seksual', 'ketika', 'pake', 'baju', 'seragam', 'sekolah', 'yang', 'benerbener', 'longgar', 'amp']","['kena', 'pelecehan', 'seksual', 'pake', 'baju', 'seragam', 'sekolah', 'longgar']","['kena', 'leceh', 'seksual', 'pake', 'baju', 'seragam', 'sekolah', 'longgar']",kena leceh seksual pake baju seragam sekolah longgar
14," @mhmdpikri18 @awwgie @manusiabiawak @commuterline ini bener. tiap ada kejadian kek gini selalu ""harus nya tuh harusnya tuh blbalbala""  kek kejadian pelecehan seksual, korbannya ngefreeze ga bisa berontak, isi rep nya malah ""harusnya cewe tuh bela diri""",urgent,"['ini', 'bener', 'tiap', 'ada', 'kejadian', 'kek', 'gini', 'selalu', 'harus', 'nya', 'tuh', 'harusnya', 'tuh', 'blbalbala', 'kek', 'kejadian', 'pelecehan', 'seksual', 'korbannya', 'ngefreeze', 'ga', 'bisa', 'berontak', 'isi', 'rep', 'nya', 'malah', 'harusnya', 'cewe', 'tuh', 'bela', 'diri']","['kejadian', 'kejadian', 'pelecehan', 'seksual', 'korbannya', 'ngefreeze', 'berontak', 'isi', 'cewe', 'bela']","['jadi', 'jadi', 'leceh', 'seksual', 'korban', 'ngefreeze', 'berontak', 'isi', 'cewe', 'bela']",jadi jadi leceh seksual korban ngefreeze berontak isi cewe bela
15,terungkap! anggota dprd ini ditangkap setelah 2 tahun lakukan pelecehanâ seksual  https://t.co/y5z7r4fnlv  setelah bertemu pelaku membawa korban ke salah satu penginapan dan melakukan pelecehan terhadap korban,urgent,"['terungkap', 'anggota', 'dprd', 'ini', 'ditangkap', 'setelah', 'tahun', 'lakukan', 'pelecehanseksual', 'setelah', 'bertemu', 'pelaku', 'membawa', 'korban', 'ke', 'salah', 'satu', 'penginapan', 'dan', 'melakukan', 'pelecehan', 'terhadap', 'korban']","['terungkap', 'ditangkap', 'lakukan', 'pelecehanseksual', 'bertemu', 'pelaku', 'membawa', 'korban', 'salah', 'penginapan', 'pelecehan', 'korban']","['ungkap', 'tangkap', 'laku', 'pelecehanseksual', 'temu', 'laku', 'bawa', 'korban', 'salah', 'inap', 'leceh', 'korban']",ungkap tangkap laku pelecehanseksual temu laku bawa korban salah inap leceh korban
16,"pengakuan adik barbie hsu alami pelecehan seksual dari artis senior  https://t.co/ey6srqt5af dee mengungkapkan hal itu sambil mengelus tangan caihua. hal ini menggambarkan apa yang dilakukan sang host terhadap dee hsu.

""dan pada momen ini, dia akan mendorong menyelipkan tangannya di bawah ketiaknya dan berkata, 'sangat lucu! kalian berdua harus bekerja keras,"" kata dee hsu menirukan ucapan pembawa acara itu.",urgent,"['pengakuan', 'adik', 'barbie', 'hsu', 'alami', 'pelecehan', 'seksual', 'dari', 'artis', 'senior', 'dee', 'mengungkapkan', 'hal', 'itu', 'sambil', 'mengelus', 'tangan', 'caihua', 'hal', 'ini', 'menggambarkan', 'apa', 'yang', 'dilakukan', 'sang', 'host', 'terhadap', 'dee', 'hsu', 'dan', 'pada', 'momen', 'ini', 'dia', 'akan', 'mendorong', 'menyelipkan', 'tangannya', 'di', 'bawah', 'ketiaknya', 'dan', 'berkata', 'sangat', 'lucu', 'kalian', 'berdua', 'harus', 'bekerja', 'keras', 'kata', 'dee', 'hsu', 'menirukan', 'ucapan', 'pembawa', 'acara', 'itu']","['pengakuan', 'alami', 'pelecehan', 'seksual', 'mengelus', 'tangan', 'menggambarkan', 'momen', 'mendorong', 'menyelipkan', 'tangannya', 'ketiaknya', 'lucu', 'berdua', 'keras', 'menirukan', 'ucapan']","['aku', 'alami', 'leceh', 'seksual', 'elus', 'tangan', 'gambar', 'momen', 'dorong', 'selip', 'tangan', 'ketiak', 'lucu', 'dua', 'keras', 'tiru', 'ucap']",aku alami leceh seksual elus tangan gambar momen dorong selip tangan ketiak lucu dua keras tiru ucap
17,pengacara kondang hotman paris diduga melakukan pelecehan seksual terhadap mantan asisten pribadinya bernama iqlima kim #hotmanparis  https://t.co/oapzlrwb2h dia hanya mengeklaim pernah mendapat pelecehan seksual berupa verbal dan non verbal,urgent,"['pengacara', 'kondang', 'hotman', 'paris', 'diduga', 'melakukan', 'pelecehan', 'seksual', 'terhadap', 'mantan', 'asisten', 'pribadinya', 'bernama', 'iqlima', 'kim', 'dia', 'hanya', 'mengeklaim', 'pernah', 'mendapat', 'pelecehan', 'seksual', 'berupa', 'verbal', 'dan', 'non', 'verbal']","['diduga', 'pelecehan', 'seksual', 'pribadinya', 'bernama', 'mengeklaim', 'pelecehan', 'seksual', 'verbal', 'non', 'verbal']","['duga', 'leceh', 'seksual', 'pribadi', 'nama', 'klaim', 'leceh', 'seksual', 'verbal', 'non', 'verbal']",duga leceh seksual pribadi nama klaim leceh seksual verbal non verbal
18,asli kasus pelecehan seksual di kantor yg gue baca sampe saat ini semuanya serem serem banget,not urgent,"['asli', 'kasus', 'pelecehan', 'seksual', 'di', 'kantor', 'yg', 'gue', 'baca', 'sampe', 'saat', 'ini', 'semuanya', 'serem', 'serem', 'banget']","['asli', 'pelecehan', 'seksual', 'kantor', 'baca', 'serem', 'serem']","['asli', 'leceh', 'seksual', 'kantor', 'baca', 'rem', 'rem']",asli leceh seksual kantor baca rem rem
19,"kasus dugaan pelecehan seksual terjadi di dalam kampus universitas mulawarman (unmul). kasus ini mencuat ketika mahasiwa dari berbagai elemen menggeruduk rektoran unmul pada kamis, (28/04/22).   https://t.co/pihpkkmcqt  https://t.co/eercw6eo5q  modusnya korban diminta untuk memijat oknum dosen selama 2 jam, tidak hanya minta dipijat oknum dosen tersebut meminta untuk di buka kaos kaki dan dipasangkan kembali. hingga pelaku menaikkan kakinya keatas paha mahasiswi.  ",urgent,"['kasus', 'dugaan', 'pelecehan', 'seksual', 'terjadi', 'di', 'dalam', 'kampus', 'universitas', 'mulawarman', 'unmul', 'kasus', 'ini', 'mencuat', 'ketika', 'mahasiwa', 'dari', 'berbagai', 'elemen', 'menggeruduk', 'rektoran', 'unmul', 'pada', 'kamis', 'modusnya', 'korban', 'diminta', 'untuk', 'memijat', 'oknum', 'dosen', 'selama', 'jam', 'tidak', 'hanya', 'minta', 'dipijat', 'oknum', 'dosen', 'tersebut', 'meminta', 'untuk', 'di', 'buka', 'kaos', 'kaki', 'dan', 'dipasangkan', 'kembali', 'hingga', 'pelaku', 'menaikkan', 'kakinya', 'keatas', 'paha', 'mahasiswi']","['dugaan', 'pelecehan', 'seksual', 'kampus', 'universitas', 'mencuat', 'mahasiwa', 'elemen', 'menggeruduk', 'kamis', 'modusnya', 'korban', 'memijat', 'oknum', 'dipijat', 'oknum', 'buka', 'kaki', 'dipasangkan', 'pelaku', 'menaikkan', 'kakinya', 'keatas', 'paha', 'mahasiswi']","['duga', 'leceh', 'seksual', 'kampus', 'universitas', 'cuat', 'mahasiwa', 'elemen', 'menggeruduk', 'kamis', 'modus', 'korban', 'pijat', 'oknum', 'pijat', 'oknum', 'buka', 'kaki', 'pasang', 'laku', 'naik', 'kaki', 'atas', 'paha', 'mahasiswi']",duga leceh seksual kampus universitas cuat mahasiwa elemen menggeruduk kamis modus korban pijat oknum pijat oknum buka kaki pasang laku naik kaki atas paha mahasiswi
20,@elamaravati semisal pada kasus pelecehan seksual yang dilakukan seorang ayah terhadap putrinya sehingga bikin trauma. lantas pas nikah apakah ayahnya ini masih pantas jadi wali nikah (jika muslim)?  kasus2 kayak gini nggilani sih,not urgent,"['semisal', 'pada', 'kasus', 'pelecehan', 'seksual', 'yang', 'dilakukan', 'seorang', 'ayah', 'terhadap', 'putrinya', 'sehingga', 'bikin', 'trauma', 'lantas', 'pas', 'nikah', 'apakah', 'ayahnya', 'ini', 'masih', 'pantas', 'jadi', 'wali', 'nikah', 'jika', 'muslim', 'kasus', 'kayak', 'gini', 'nggilani', 'sih']","['pelecehan', 'seksual', 'ayah', 'putrinya', 'bikin', 'trauma', 'lantas', 'nikah', 'nikah', 'kayak']","['leceh', 'seksual', 'ayah', 'putri', 'bikin', 'trauma', 'lantas', 'nikah', 'nikah', 'kayak']",leceh seksual ayah putri bikin trauma lantas nikah nikah kayak
21,"haloo @ursaturn_ ðÿ˜ƒðÿ‘‹ selamat membaca! ""mau spill pelecehan seksual yang dialamin kakak aku di kantornya...""  https://t.co/ag1scobfli  ga lama setelah si t pergi, si pelaku ini minta minyak angin ke kakakku dikasih lah minyak angin sama kakakku. pas kakakku kasih minyak angin si pelaku nyeletuk gini ke kakakku 
""lo mau gue usapin minyak kayu putih juga ga diperutnya?"" kakakku udah mulai panik tu",urgent,"['haloo', 'selamat', 'membaca', 'mau', 'spill', 'pelecehan', 'seksual', 'yang', 'dialamin', 'kakak', 'aku', 'di', 'kantornya', 'ga', 'lama', 'setelah', 'si', 'pergi', 'si', 'pelaku', 'ini', 'minta', 'minyak', 'angin', 'ke', 'kakakku', 'dikasih', 'lah', 'minyak', 'angin', 'sama', 'kakakku', 'pas', 'kakakku', 'kasih', 'minyak', 'angin', 'si', 'pelaku', 'nyeletuk', 'gini', 'ke', 'kakakku', 'lo', 'mau', 'gue', 'usapin', 'minyak', 'kayu', 'putih', 'juga', 'ga', 'diperutnya', 'kakakku', 'udah', 'mulai', 'panik', 'tu']","['membaca', 'pelecehan', 'seksual', 'dialamin', 'kakak', 'kantornya', 'pergi', 'pelaku', 'dikasih', 'kasih', 'pelaku', 'nyeletuk', 'usapin', 'putih', 'diperutnya', 'panik']","['baca', 'leceh', 'seksual', 'alamin', 'kakak', 'kantor', 'pergi', 'laku', 'kasih', 'kasih', 'laku', 'nyeletuk', 'usapin', 'putih', 'perut', 'panik']",baca leceh seksual alamin kakak kantor pergi laku kasih kasih laku nyeletuk usapin putih perut panik
22,"ada yg absurd, w pernah baca au yg pelecehan seksual gini, dan di cerita itu besoknya si korban bunuh diri dan arwahnya mlh blg thank you ke si pelaku krn dia jg emg gamau hidup.. lgsg w block anjr",urgent,"['ada', 'yg', 'absurd', 'pernah', 'baca', 'au', 'yg', 'pelecehan', 'seksual', 'gini', 'dan', 'di', 'cerita', 'itu', 'besoknya', 'si', 'korban', 'bunuh', 'diri', 'dan', 'arwahnya', 'mlh', 'blg', 'thank', 'you', 'ke', 'si', 'pelaku', 'krn', 'dia', 'jg', 'emg', 'gamau', 'hidup', 'lgsg', 'block', 'anjr']","['baca', 'pelecehan', 'seksual', 'cerita', 'besoknya', 'korban', 'bunuh', 'arwahnya', 'pelaku', 'hidup']","['baca', 'leceh', 'seksual', 'cerita', 'besok', 'korban', 'bunuh', 'arwah', 'laku', 'hidup']",baca leceh seksual cerita besok korban bunuh arwah laku hidup
23,"@jamesdof @askrlfess itu pelecehan seksual, kalo untuk barang bukti ya bisa aja. gila aja coli diruang publik masih bawa-bawa privasi, kelakuannya aja udah bisa dipidana.",not urgent,"['itu', 'pelecehan', 'seksual', 'kalo', 'untuk', 'barang', 'bukti', 'ya', 'bisa', 'aja', 'gila', 'aja', 'coli', 'diruang', 'publik', 'masih', 'bawabawa', 'privasi', 'kelakuannya', 'aja', 'udah', 'bisa', 'dipidana']","['pelecehan', 'seksual', 'barang', 'bukti', 'gila', 'coli', 'diruang', 'publik', 'bawabawa', 'privasi', 'kelakuannya', 'dipidana']","['leceh', 'seksual', 'barang', 'bukti', 'gila', 'coli', 'ruang', 'publik', 'bawabawa', 'privasi', 'laku', 'pidana']",leceh seksual barang bukti gila coli ruang publik bawabawa privasi laku pidana
24,"artis doctor strange zara phythian dituduh lakukan pelecehan seksual pada anak 13 tahun  https://t.co/igwhwfuftg wanita itu menjelaskan bahwa pelecehan dimulai ketika phythian memberinya alkohol dan membujuknya untuk melakukan seks oral dengan marke. dia bersaksi bahwa dia merasa seolah-olah phythian melatihnya untuk menjadi lebih baik dalam aktivitas seksual.  berdasarkan laporan bbc, wanita itu juga mengatakan marke mengancam akan menyakitinya jika dia memberi tahu siapa pun tentang dugaan pelecehan itu.",urgent,"['artis', 'doctor', 'strange', 'zara', 'phythian', 'dituduh', 'lakukan', 'pelecehan', 'seksual', 'pada', 'anak', 'tahun', 'wanita', 'itu', 'menjelaskan', 'bahwa', 'pelecehan', 'dimulai', 'ketika', 'phythian', 'memberinya', 'alkohol', 'dan', 'membujuknya', 'untuk', 'melakukan', 'seks', 'oral', 'dengan', 'marke', 'dia', 'bersaksi', 'bahwa', 'dia', 'merasa', 'seolaholah', 'phythian', 'melatihnya', 'untuk', 'menjadi', 'lebih', 'baik', 'dalam', 'aktivitas', 'seksual', 'berdasarkan', 'laporan', 'bbc', 'wanita', 'itu', 'juga', 'mengatakan', 'marke', 'mengancam', 'akan', 'menyakitinya', 'jika', 'dia', 'memberi', 'tahu', 'siapa', 'pun', 'tentang', 'dugaan', 'pelecehan', 'itu']","['dituduh', 'lakukan', 'pelecehan', 'seksual', 'anak', 'wanita', 'pelecehan', 'memberinya', 'alkohol', 'membujuknya', 'seks', 'oral', 'bersaksi', 'melatihnya', 'aktivitas', 'seksual', 'berdasarkan', 'laporan', 'wanita', 'mengancam', 'menyakitinya', 'dugaan', 'pelecehan']","['tuduh', 'laku', 'leceh', 'seksual', 'anak', 'wanita', 'leceh', 'beri', 'alkohol', 'bujuk', 'seks', 'oral', 'saksi', 'latih', 'aktivitas', 'seksual', 'dasar', 'lapor', 'wanita', 'ancam', 'sakit', 'duga', 'leceh']",tuduh laku leceh seksual anak wanita leceh beri alkohol bujuk seks oral saksi latih aktivitas seksual dasar lapor wanita ancam sakit duga leceh
