,date,username,tweet,nlikes,label
37,4/29/2022 20:43,studybrumbrum,"@scrxnb Pelecehan seksual di kantor lebih serem yaðŸ¥² semua kasus pelecehan emg serem"" bgt, tp kl dikampus biasanya kating"" organisasi ada yg mau bantu, tp kl di kantor banyak yg tutup mulut (ga semuanya jg). Semoga kakanya lekas pulih mental dsbnyaaðŸ¥°",595,not urgent
38,4/29/2022 20:01,wechienak,"@Eudaimonia7_ @your_littleluv @amsalfoje @shabrinaf_ Jadi inget kasus pelecehan seksual di masjid. Crossdress pake mukena, terus noel pantat cewek waktu sujud.",3,urgent
39,4/29/2022 19:50,HistoryOfSunsh1,"aku aja sering mainin titid adikku ketika dia tertidur hihi, rasanya lucu2 gimana
gitu, tapi bukan karna nafsu ya, cewe2 yang punya adik cowo pasti pernah",1,urgent
40,4/29/2022 19:38,heesclouds,kasus pelecehan di kampusku. bener-bener fucked up sih. anak lpm dikepung di sekret sama anak ukm yg menaungi pelaku. disuruh TD artikel terkait pelecehan seksual yg emg dilakukan oleh anggota ukm tsb.,1,not urgent
41,4/29/2022 19:20,yoursadfuckboi,@Hopeless1945 @ManusiaBiawak @CommuterLine Ya itu pelecehan seksual buat yang jadi objeknya dia loh mas. Entah dia liat siapa. Apalagi tempat umum,1,not urgent
42,4/29/2022 19:15,GyanayoKy,"Ternyata gk sedikit dari perempuan2 yang bicara tentang pelecehan seksual, mereka mengalaminya, sebagai korban, dan setiap mau cerita, pasti ada embel2nya ""aku gk cerita ini kesiapa2"" dengan alasan takut disalahin dan malu juga.",1,urgent
43,4/29/2022 19:13,jalur5_,Yuk belajar menahan nafsu seksual di tempat umum. Tindakan masturbasi di depan umum sudah termasuk pelecehan seksual. Salurkan nafsu seksual teman-teman di tempat tertutup yah.,3,urgent
44,4/29/2022 18:33,wow_keren,"Patut Diwaspadai, Ini 8 Jenis Pelecehan Seksual yang Sering Terjadi di Dunia Maya #SerbaSerbi  https://t.co/hZaqR79YAh  https://t.co/f9XitZYcND",1,not urgent
45,4/29/2022 18:31,gugudangie,"hmmm berarti au au yang menceritakan boss yang merkosa pegawainya trus jadi daddy sama baby gitu, pelecehan seksual  juga dong? wkwkw",1,urgent
46,4/29/2022 16:48,saaaaaachannnn,"@ssaaffffff Ga habis pikir aku sama yang kayak gitu. Padahal trauma pelecehan seksual bisa bertahun-tahun, ga logis banget korban mau nikah sama pelaku. Berinteraksi tanpa rasa takut aja susah.   Nah iya ini minor nih yany bebal dikasih tauu, emg sekarang",1,urgent
47,4/29/2022 16:45,Oyenpalingkuat,"@AREAJULID Gak pantas jadi pengacara, baik udah lulus kuliah hukum atau belum. Maaf kalau saya ngomong gini. Bayangin aja kalau misalnya kita/dia di posisi korban. Pelecehan seksual yang dilakukan pelaku bukan secara 'spontan'. Sampai korbannya sepuluh or",1,not urgent
48,4/29/2022 16:07,meisarasinaga,Meromantisasi pelecehan seksual. Unfaedah skli ya author nya,1,not urgent
49,4/29/2022 15:59,mejikuhibinad,"@convomfs wtf this is au, pelecehan seksual itu gk boleh disalahgunakan gini dong keterlaluan bgt ini mh  walaupun si pelaku mau tanggung jawab minimal tindak pidana harus ditegakkan disini jgn bikin org"" berangan angan tntng hal yg bodoh gini, yg bikin a",0,not urgent
50,4/29/2022 15:51,baryoism,"@arprynnd Kalo kayak gitu, pada akhirnya pemerintah gak berperan dalam pencegahan kekerasan dan pelecehan seksual yang nyata terutama pada perempuan.",1,not urgent
51,4/29/2022 15:24,WlNTEU,"@AREAJULID Menganggap pelecehan itu hal yang normal. Pelecehan seksual itu sadar, tidak spontan dan semua keputusan itu udah disetujuin oleh dirinya. Dia memilih menjadi pelaku pelecehan, berarti dia harus menerima konsekuensi dari perbuatannya. Ah kampre",129,not urgent
52,4/30/2022 6:58,lembaranbaru24,"Pelaku ini jahat banget,! jangan judge korban kalau membeku, ada istilah tonic immobility, ketika dalam ketakutan sangat kita ngga bisa bergerak sama sekali, banyak korban pelecehan yang mengalami ini, alhamdulillahnya si korban akhirnya bisa melawan",13,not urgent
53,4/30/2022 6:55,jawuwawy,"@andreasharsono Sama kaya di kampus saya, korban pelecehan seksual justru dapat sanksi tidak dapat pelayanan akademik selama 2 semester, alasannya karena dia dianggap bersalah mau diajak bertemu laki-laki di malam hari. Sangat lucu ketika korbannya justru",2,urgent
54,4/30/2022 6:45,Gitgutgotta,Reply nya byk juga yg udh jadi korban pelecehan seksual beginiâ€¦ takut,1,urgent
55,4/30/2022 5:03,nagatauww,"Kayaknya emang bener ya masih banyak pikiran2 kolot kalo ada tindakan pelecehan seksual pasti nyalahin korban dulu, langsung labelling korban yg ngga2, kebiasaan judgemental sampe nganggep kalo masalah kaya gitu tu lumrah buat sering terjadi. Hadu,memang suka ga abis thinking dah",2,not urgent
56,4/30/2022 5:00,nagatauww,"Siapapun itu deh, mau gendernya laki - laki kek perempuan kek usia berapapun ya emang namanya tindakan pelecehan seksual emang gapantes dan biadab, dan gada satupun orang yg mau buat jadi korbannya. Kata2 udah siap dilecehkan kayaknya jahat banget apalagi dilontarkan buat korban.",1,not urgent
57,4/30/2022 4:35,onbus156,"@AREAJULID owalah, manusia kyk gini tuh gk akan kapok kalo hukumannya skorsing doang. spill aja muka atau identitas lainnya, siapa tau ada yg mau silaturahmi. korban kenal trauma seumur hidup krna pelecehan, knp pelaku gk bisa trauma juga krna sanksi sosi",1,not urgent
58,4/30/2022 2:15,heihugmee,@scrxnb Korban pelecehan seksual itu adalah buktinya mba,1,urgent
59,4/30/2022 0:05,jualkelapamuda,"ada yg absurd, w pernah baca au yg pelecehan seksual gini, dan di cerita itu besoknya si korban bunuh diri dan arwahnya mlh blg thank you ke si pelaku krn dia jg emg gamau hidup.. lgsg w block anjr",1,urgent
60,4/29/2022 22:49,duitbansos,"dikasih memek kok gak mau, susah kan klo korban nya cowo pelaku nya cewe? hayolo""  damn im sorry sayangðŸ˜­ðŸ˜­ w paling sakit ati dah klo denger cerita pelecehan gini mau korban nya cowo atau cewe kek ya allahðŸ˜­ðŸ˜­",0,urgent
61,4/29/2022 22:42,vethramrslly,"@louvnment @rapsodied @SiKebongce @sukunachan @nanangismantoro @fluffylunda @nickigrandongg Ibarat ada korban pelecehan yg disalahkan korbannya karena pake baju mini, padahal yg salah yg gabisa nahan nafsunya kan? Relate juga sama kasus bully, masa yg dis",0,urgent
62,4/29/2022 22:24,Susiii_Wahyu06,contoh orang yg kalo ada kasus pelecehan malah nyalahin baju korban,5,urgent
63,4/29/2022 20:52,beybo_93,"@awwgie @ManusiaBiawak @CommuterLine Gue pernah jd korban pelecehan di krl,gue teriak ga ada gunanya tuh org disekitarnya, boro2 ada yg nolong. Pelakunya ajah gue yg seret sendiri keluar gerbong bawa ke security",0,not urgent
64,4/29/2022 19:15,GyanayoKy,"Ternyata gk sedikit dari perempuan2 yang bicara tentang pelecehan seksual, mereka mengalaminya, sebagai korban, dan setiap mau cerita, pasti ada embel2nya ""aku gk cerita ini kesiapa2"" dengan alasan takut disalahin dan malu juga.",1,urgent
65,4/29/2022 18:54,apasyakkk,"yauda tahan bentar ta, habis itu c*li (dil ini agak kasar) di rumah kan jg bisa, org pemikiran kyk gtu yg bikin banyak korban pelecehan tapi yg disalahin malah korbannya",0,urgent
66,4/29/2022 18:36,dxllruz,"@AREAJULID Spontan kok 10 Korban, Semoga anak lo nanti ga kena Pelecehan deh, miris banget as Women malah jd Pengacara yg kasusnya kek gini wkwk. TAMATIN DULU KULIAH DEK.",0,not urgent
67,4/29/2022 17:18,sxbnw,Dan aku baru nemu cerita wp yang ada pendapat kayak menormalisasikan bahwa korban pelecehan boleh nikah sama pelaku kalau ganteng?? KEK WHATT ITU BUKANNYA MAU NIKAH MALAH TRAUMA KETEMU SAMA PELAKUNYA,0,not urgent
68,4/29/2022 16:48,saaaaaachannnn,"@ssaaffffff Ga habis pikir aku sama yang kayak gitu. Padahal trauma pelecehan seksual bisa bertahun-tahun, ga logis banget korban mau nikah sama pelaku. Berinteraksi tanpa rasa takut aja susah.   Nah iya ini minor nih yany bebal dikasih tauu, emg sekarang",1,not urgent
69,4/29/2022 16:45,Oyenpalingkuat,"@AREAJULID Gak pantas jadi pengacara, baik udah lulus kuliah hukum atau belum. Maaf kalau saya ngomong gini. Bayangin aja kalau misalnya kita/dia di posisi korban. Pelecehan seksual yang dilakukan pelaku bukan secara 'spontan'. Sampai korbannya sepuluh or",1,not urgent
70,4/29/2022 16:15,IamBima,@AREAJULID awal mulanya si yang pamer titit gara2 celana bolong terus skg dia semoga aja g ada korban pelecehan gara2 ada cowo masuk toilet cewe,0,urgent
71,4/29/2022 16:13,Cheneverly,"@Lofaca0 Soal pelecehan gini sering kali pelaku yg danggap korban, begitu pula sebaliknya. Gatau lgi gmna keadaan si korban skrng yg bnr"" merasa putus asa dlingkungan kaya gtu. Terlebih bukannya dukungan yg ia dpt melainkan cemoohan. Semoga korban mendptk",4,not urgent
72,4/29/2022 15:34,nautenonet,"@AREAJULID lo nyari sensasi boleh, tapi janga sampe lo berani2 mempermainkan keadilan khususnya terhadap minor dan korban pelecehan. Lo cewek, harusnya sadar diri betapa rentannya cewek terhadap pelecehan. Lo main2 sama keadilan di dunia gw yakin di akhir",412,not urgent
73,4/29/2022 14:35,gwiomji98,Banyak diluaran sana yg jadi trauma karena jadi korban pelecehan BISA BISANYA DIJADIIN AU,0,not urgent
74,4/29/2022 14:30,officialnova_id,"Kini bela guru ngaji, Barbie Kumalasari curhat pernah jadi korban pelecehan oleh kolega pengacara.   https://t.co/lrzb0jGWah . Saat acara bebas malam, kamar hotel Barbie Kumalasari diketuk oleh sang oknum pengacara dan mantan istri Galih Ginanjar tersebut diajak berbincang.

Namun siapa sangka, oknum pengacara ternyata tengah dalam kondisi mabuk dan  tiba-tiba menyerang Barbie Kumalasari.

""Aku keinget satu tahun, wah itu parah banget karena dia maksa buka baju aku, ciumin aku, pokoknya parah sampai aku tendang dia,"" ungkap Barbie Kumalasari. 

Beruntung, Barbie Kumalasari berhasil lolos dari kejadian tidak menyenangkan tersebut.
""Jadi kalau bicara pelecehan tuh menyakitkan sekali untung badanku gede, jago bela diri.""


""Kalau aku kurus, tipe cewek unyu-unyu gitu aku pasti udah diperkosa abis malam itu,"" sambungnya.",0,urgent
75,4/30/2022 1:03,pranaladotco,"Wanita di Kubar Diduga Diculik dan Dilecehkan saat Berangkat Kerja, Pelakunya Ternyata Kakak Ipar -  https://t.co/kMXJrwrjKZ via @ https://twitter.com/pranaladotco . Pelaku pun langsung menodongkan pisau kepada korban dan menyuruhnya untuk masuk ke dalam mobil. Menurut keterangan korban, setelah berada di mobil, tersangka mengancamnya dengan pisau agar korban membuka baju dan pakaian dalamnya.

Sambil menodongkan pisau terhadap korban, pelaku melakukan tindakan asusila kepada korban. Akibat perbuatan pelaku, korban merasa keberatan dan melaporkan kejadian tersebut ke Polsek Damai.",0,urgent
76,4/29/2022 19:31,pikiran_rakyat,"Wanita di Kaltim Diduga Diculik dan Dilecehkan Saat Berangkat Kerja, Pelaku Ternyata Kakak Iparnya  https://t.co/SlHS2nmVVm",0,urgent
77,4/28/2022 17:16,ceritasisikanan,"lalu bibi berkata lagi, iya, dia vera, sahabatku, dan ya, aku adalah wanita yang dilecehkan, diperkosa kemudian di bunuh, namaku ceri"" kata hantu tersebut menjelaskan.  "" iya, mungkin kau memang jin qorin dari ceri. Walaupun aku tak bisa mempercayaimu kamu boleh cerita.",5,urgent
78,4/28/2022 12:36,BucinKamuaku,"Meskipun si popo ini ga oprasi, kan dia merasa dirinya wanita(?) Trus kalaupun dia msuk k toilet pria, apa ada jaminan dia ga bakalan dilecehkan dgn penampilan bgtu? Kan yg byk org resahkan krn si popo lakik.  Terlepas dr agama, agama mana yg membenarkan? Kagak ada!!!!",0,urgent
79,4/28/2022 1:25,musiqofthgyal,"Semua serba wanita, sampai lupa pria juga punya sentimental. Paham sih mgkn jumlah wanita lebih banyak drpd pria. Jd kasusnya otomatis jg lbh banyak. Tp banyak juga pria yg diam saat tau mreka dilecehkan. Trauma? Jelas.  Pria juga manusia &amp",,not urgent
80,4/25/2022 18:48,AkunSayangJeno," @leesskyn Sebelumnya maaf banget nih, mas. Ikut nimbrung, hehehe. Ada tambahan nih, keruang publik tapi sendirian? Lantas, bagaimana orang yang masih memiliki teman yang bersama tapi tetep dilecehkan? Kenapa disini jadi wanita yagn selalu salah?",0,not urgent
81,4/25/2022 18:17,dindaamp,"Tapi ternyata tidak sedangkal itu bestie. Dia maparin gimana wanita yg sering dibully, dilecehkan, dimanfaatkan, ditipu di era digital ini, kita jadi perempuan harus kuat. Jadilah perempuan yang berdaya bukan diberdayakan.",0,not urgent
82,4/25/2022 17:35,saha_yah22,"@MoodyLoo0ny @bern_kirana @malesmenulis @AdorableGojo @teapodcs @AREAJULID Bahkan saya tidak menyangkal pernyataan bahwa perempuan msh ada peluang utk dilecehkan walau dgn pakaian syar'i.  But, what you said is oot. Tweet kedua dr atas bicara ttg tanggung",1,not urgent
83,4/25/2022 14:16,siakuncurhat,"@AREAJULID memakai pakaian tebal dan sopan pun ga menjamin wanita ga dilecehkan, right!!!",0,not urgent
84,4/25/2022 4:43,GopalaJaya1,@RaniKancana__ Coba ojol nya warga keturunan..pa lagi berbau unta...mesti gercep.. Para wanita Dayak dulu laporan polisi krn dilecehkan tdk ada tanggapan sampe sekarang...tp begitu Tsamara yg lapor..ga nunggu lama..,0,not urgent
85,4/24/2022 22:27,ryaskhi,"@SnMangatyass hello gini mba, sy cuma tdk setuju sama statement org2 yg bilang ""makanya tutup aurat"" makanya sy kasih contoh santri2 tsb, sudah tutup aurat saja tp masih dilecehkan. dan sy simpulkan bahwa pakaian bkn tolak ukur laki2 utk melecehkan wanita",2,not urgent
86,4/24/2022 19:39,ffungirlll,"@Irfan66535284 @sadgurlpisan @buIankeIima @AREAJULID parahnya lg, ada yg berpakaian tertutup tapi masih di catcalling dan dilecehkan secara verbal itu bagaimana tanggapan mas? tentang wanita yg harus terus menutup auratnya? padahal kita sudah sedemikian d",4,not urgent
87,4/24/2022 18:10,teapodcs,"@skyforvmin @AREAJULID kalo otak itu kontrol masingÂ², tapi at least kita bisa berbuat sesuatu lah.. ya jgn karena byk wanita berhijab dilecehkan, terus kita, ya udahlah sekalian aja ga berpakaian..  kan ngga gitu juga, we have the ability to protect ours",253,not urgent
88,4/24/2022 17:27,OtherAzis,"@AREAJULID Oh iya guys, ada yang kurang tapi harus disampaikan :  Dengan kejadian wanita berpakaian syari yang terkena kekerasan seksual, bukan berarti syariat untuk menutup aurat itu jadi hilang.  Sebaliknya jika ada perempuan yang membuka aurat juga buk",3,not urgent
89,4/24/2022 15:18,Jabar24Jam,"Cerita Viral, Wanita Ini Dilecehkan di Terminal  https://t.co/rcRdIH63rh",0,urgent
90,4/24/2022 15:17,MangSiHejo,"Cerita Viral, Wanita Ini Dilecehkan di Terminal  https://t.co/fBoQb9i2E5",0,urgent
